,Unnamed: 0,date,city,duration,summary,posted,state_idaho,state_utah,Changing,Chevron,Cigar,Circle,Cone,Cross,Cylinder,Diamond,Disk,Egg,Fireball,Flash,Formation,Light,Other,Oval,Rectangle,Sphere,Teardrop,Triangle,Unknown,changing,light,other
32916,32916,9/30/17 19:57,Twin Falls,1:54,Unidentified Orb first witnessed slowly hovering from the South continuing until disapoearing to the North East. No blinking lights,10/19/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32917,32917,9/29/17 22:00,Twin Falls,1:45,The undidentified object materialized to the northeast of our position at approximately 22:14 PM Mountain Time. I began recording t,10/19/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32918,32918,9/22/17 05:15,Pocatello,~5 minutes,Just getting to Pocatello on the freeway look towards the west big bright light above of the street lights I was a passenger watching i,10/5/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32919,32919,8/21/17 11:27,Caldwell,-1 second,UFO CLOUD 2400MPH  ((anonymous report)),8/24/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32920,32920,8/3/17 23:10,Twin Falls,5 minutes,Solid light (star-like) ((anonymous report)),8/4/17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32921,32921,8/2/17 23:06,Lewiston,10 seconds,"The craft was observed traveling northeast. It maintained continuous light, brighter than any star or other heavenly body.",8/4/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32922,32922,7/29/17 21:55,Harrison,5 seconds,Fireball in the sky & it went down into the horizon.,8/4/17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32923,32923,7/23/17 01:30,Twin Falls,3-5 seconds,"Large bright white light formed a circle, then disappeared, reappeared, and formed another circle, then disappeared again.",7/23/17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32924,32924,7/20/17 03:30,Boise,1 minute,"Cigar-shaped ship, covered In glittery bright white lights.",7/23/17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32925,32925,7/15/17 21:00,Post Falls,5 minutes,"Seen first one over Post Falls, and over CDA, then nothing, no noise.  Had 3 glowing lights at ends of triangle.  ((anonymous report))",7/23/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32926,32926,7/6/17 23:26,Marsing,20 minutes,"Bright and erratic moving object, almost space shuttle shaped.  ((NUFORC Note:  Sighting of Jupiter??  PD))",7/7/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32927,32927,7/5/17 00:00,Payette,3 minutes,Was driving along and and saw this small shiny meatal object flying around medium speed and disappeared in front of our eyes,7/23/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32928,32928,7/4/17 23:00,Nampa,3 minutes,Looked like a glowing fireball in the sky during fireworks.,7/7/17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32929,32929,6/30/17 23:14,Nampa,3 minutes,"""What's that?"", my wife cried.  I stood and beheld a loping orange fireball.  Attempting to focus on its shape.",7/7/17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32930,32930,6/28/17 21:30,Nampa,90 minutes,2 small circular crafts seen within a period of 30min minutes from each other while another triangular shaped craft was found 1hr later,7/7/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32931,32931,6/24/17 00:30,Twin Falls,30-40 minutes,There were 7 lights that were solid white all paced out through the span of roughly 40 min. Some seemed be flying straight but after fo,7/7/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32932,32932,6/4/17 20:21,Spirit Lake,30 seconds,Bluish semi-transparent round object moving east.  ((NUFORC Note:  Lens flares in two photos of the setting Sun.  PD)),6/9/17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32933,32933,5/25/17 22:30,Victor,20 minutes,One main object moving all over the place eventually seemed to release two smaller objects.,6/2/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32934,32934,5/15/17 19:00,Melba,1 minute,Bright orange orbs.,7/27/17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32935,32935,5/4/17 18:30,Meridian,7 minutes,Multiple triangle shaped objects floating in formation.  ((anonymous report)),7/23/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32936,32936,4/28/17 01:00,Garden City,30 seconds,Saw a bright orange fireball moving from west to east in the sky.  ((anonymous report)),5/6/17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32937,32937,4/25/17 22:30,Rigby,4 minutes,"Two lights flying, one in front of the other, thought they were satellites until the bigger of the two slowed.",4/28/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32938,32938,4/15/17 21:30,Boise,5 minutes,Two multicolored illuminated objects hovered above Boise and ascended vertically and vanishished out of site.  ((anonymous report)),4/20/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32939,32939,3/14/17 22:10,Lava Hot Springs,8 minutes,"Saw a set of 3 bright lights float, and then explode; in the N sky, looking from Lava Hot Springs, ID.",3/17/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32940,32940,2/24/17 22:15,Nampa,10 seconds,I saw 2 orange lights.  At first I thought it was a plane till one light went in front of the other.  ((anonymous report)),6/2/17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32941,32941,2/21/17 21:00,Nampa,40 minutes,"Disk/saucer in Nampa, Idaho.  ((NUFORC Note:  Probable sighting of Venus, we suspect.  PD))",3/10/17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32942,32942,2/15/17 20:30,Lava Hot Springs,1-2 hours,Bright lights in southeast Idaho sky.,2/17/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32943,32943,2/7/17 21:30,Nampa,50 minutes,"Triangle shaped.  Orange to red glow.  Would be dim, bright, and disappear.  Then reappear in different location.  Silent.",2/10/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32944,32944,2/7/17 21:29,Melba,18 minutes,"Oval shape with yellow, red, blue, and green pulsating lights observed for 18 minutes in a dark sky.",2/10/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32945,32945,2/1/17 21:02,Hope,Few minutes,Object that gave off a changing red/orange/green light.  Very large.  ((NUFORC Note:  Venus or Sirius?  Anonymous report.  PD)),2/3/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32946,32946,1/1/17 12:05,Boise,10 minutes,"4-5 Floating, glowing orange globes",1/6/17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32947,32947,1/1/17 00:10,Boise,15 minutes,Orange orb in north sky around 12:10 am in Boise 2017.  ((anonymous report)),1/6/17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32948,32948,12/31/16 22:59,Coeur d'Alene,1.5 minutes,Fireball w/ huge flames headed from vicinity of Coeur d'Alene Lake toward Pappy Boyington Airport while losing alt..((anonymous report),1/6/17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32949,32949,12/31/16 22:36,Boise,5 minutes,"4 orange orbs flying in formation.  One orb disappeared, the flying became erratic, all disappeared.  ((anonymous report))",1/19/17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32950,32950,12/22/16 03:00,Eden,flash,Large short duration flash of lightly green tinted light that brightened the entire horizon 10 miles away.,3/10/17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32951,32951,11/20/16 23:30,Boise,20 minutes,Bright isolated orb.  ((NUFORC Note:  Possible sighting of an Iridium satellite flare?  PD)),12/5/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32952,32952,11/17/16 20:00,Caldwell,10 minutes,"Formation over Caldwell, Idaho.",12/5/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32953,32953,11/17/16 18:02,Nampa,Ongoing,Bright triangle shaped set of 3 lights pulses.very bright not like a planet or star.no noise. Seems to be less bright and farther away,12/5/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32954,32954,11/16/16 20:50,Middleton,30 seconds,I was  driving on my way home from work.  I was westbound on Purplesage road when I saw a blue orb or spherelike object with a bright c,12/5/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32955,32955,11/12/16 07:00,Twin Falls,10 minutes,Solid ball looking thing floating West. Looked like it changed directions from South to West. No sound and no lights. Recorded it on my,12/5/16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32956,32956,11/8/16 21:50,Garden City,Few minutes,Very bright lights that just sat there very close together not moving then changed when it went away,11/11/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32957,32957,11/7/16 21:15,Boise,5 minutes,"Large flying object with huge bright light, moving slow and barely above treeline in residential area, after 9pm, 11/7/16, Boise.",12/5/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32958,32958,11/3/16 19:30,Hailey,10 seconds,"Orb of bright light fireball moving very slowly directly above our heads, and then disappeared.  Not a shooting star.  Too close.",11/4/16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32959,32959,10/19/16 19:45,Kuna,24 minutes,"Light formation fading in and out, merging, and changing shape.",10/27/16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
