,Unnamed: 0,Unnamed: 0.1,status_id,created_at,user_id,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords,sentiment_polarity,sentiment_subjectivity,sentence,found_flag
351,351,32567,x820631495660408835,2017-01-15 13:59:29,x25073877,realDonaldTrump,"The Democrats are most angry that so many Obama Democrats voted for me. With all of the jobs I am bringing back to our Nation, that number..",Twitter for Android,140,,,,False,False,77239,15875,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.5,The Democrats are most angry that so many Obama Democrats voted for me With all of the jobs I am bringing back to our Nation that number,1
352,352,32569,x821364027506966532,2017-01-17 14:30:19,x25073877,realDonaldTrump,"With all of the jobs I am bringing back into the U.S. (even before taking office), with all of the new auto plants coming back into our.....",Twitter for Android,140,,,,False,False,57659,10877,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04545454545454545,0.15151515151515152,With all of the jobs I am bringing back into the U S even before taking office with all of the new auto plants coming back into our,1
353,353,32587,x821365569366671360,2017-01-17 14:36:26,x25073877,realDonaldTrump,"country and with the massive cost reductions I have negotiated on military purchases and more, I believe the people are seeing ""big stuff.""",Twitter for Android,139,,,,False,False,54872,10263,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.42500000000000004,country and with the massive cost reductions I have negotiated on military purchases and more I believe the people are seeing big stuff,1
354,354,32596,x823495059010109440,2017-01-23 11:38:16,x25073877,realDonaldTrump,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,Twitter for Android,139,,,,False,False,174508,26352,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,0.43333333333333335,Busy week planned with a heavy focus on jobs and national security Top executives coming in at 9 00 A M to talk manufacturing in America,1
355,355,32667,x816068355555815424,2017-01-02 23:47:12,x25073877,realDonaldTrump,"China has been taking out massive amounts of money &amp; wealth from the U.S. in totally one-sided trade, but won't help with North Korea. Nice!",Twitter for Android,144,,,,False,False,62865,17246,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19999999999999998,0.9166666666666666,China has been taking out massive amounts of money amp wealth from the U S in totally one sided trade but wo not help with North Korea Nice,1
356,356,32676,x817071792711942145,2017-01-05 18:14:30,x25073877,realDonaldTrump,"Toyota Motor said will build a new plant in Baja, Mexico, to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax.",Twitter for Android,139,,,,False,False,105304,31485,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06818181818181818,0.2772727272727273,Toyota Motor said will build a new plant in Baja Mexico to build Corolla cars for U S NO WAY Build plant in U S or pay big border tax,1
357,357,32691,x817329823374831617,2017-01-06 11:19:49,x25073877,realDonaldTrump,"The dishonest media does not report that any money spent on building the Great Wall (for sake of speed), will be paid back by Mexico later!",Twitter for Android,139,,,,False,False,64228,18792,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.27,The dishonest media does not report that any money spent on building the Great Wall for sake of speed will be paid back by Mexico later,1
358,358,32693,x819162968592183298,2017-01-11 12:44:05,x25073877,realDonaldTrump,"I win an election easily, a great ""movement"" is verified, and crooked opponents try to belittle our victory with FAKE NEWS. A sorry state!",Twitter for Android,138,,,,False,False,112160,28061,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12000000000000002,0.65,I win an election easily a great movement is verified and crooked opponents try to belittle our victory with FAKE NEWS A sorry state,1
359,359,32737,x951236634095308800,2018-01-10 23:37:41,x25073877,realDonaldTrump,"Cutting taxes and simplifying regulations makes America the place to invest! Great news as Toyota and Mazda announce they are bringing 4,000 JOBS and investing $1.6 BILLION in Alabama, helping to further grow our economy! https://t.co/Kcg8IVH6iA",Twitter for iPhone,221,,,,False,False,84374,21942,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/951236458240671745/pu/img/pNFNY5MMMQ5e-QdS.jpg,https://t.co/Kcg8IVH6iA,https://twitter.com/realDonaldTrump/status/951236634095308800/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/951236458240671745/pu/img/pNFNY5MMMQ5e-QdS.jpg,https://t.co/Kcg8IVH6iA,https://twitter.com/realDonaldTrump/status/951236634095308800/video/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0666666666666667,0.7166666666666667,Cutting taxes and simplifying regulations makes America the place to invest Great news as Toyota and Mazda announce they are bringing 4 000 JOBS and investing 1 6 BILLION in Alabama helping to further grow our economy https,1
360,360,32751,x950502279785959425,2018-01-08 22:59:37,x25073877,realDonaldTrump,"In every decision we make, we are honoring America’s PROUD FARMING LEGACY. Years of crushing taxes, crippling regs, &amp; corrupt politics left our communities hurting, our economy stagnant, &amp; millions of hardworking Americans COMPLETELY FORGOTTEN. But they are not forgotten ANYMORE! https://t.co/MdYS7xnukQ",Twitter for iPhone,288,,,,False,False,79427,17666,,,,,,http://pbs.twimg.com/ext_tw_video_thumb/950502033156489216/pu/img/T_aVmua_KDtMF-Kv.jpg,https://t.co/MdYS7xnukQ,https://twitter.com/realDonaldTrump/status/950502279785959425/video/1,photo,http://pbs.twimg.com/ext_tw_video_thumb/950502033156489216/pu/img/T_aVmua_KDtMF-Kv.jpg,https://t.co/MdYS7xnukQ,https://twitter.com/realDonaldTrump/status/950502279785959425/video/1,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16000000000000003,0.6599999999999999,In every decision we make we are honoring America s PROUD FARMING LEGACY Years of crushing taxes crippling regs amp corrupt politics left our communities hurting our economy stagnant amp millions of hardworking Americans COMPLETELY FORGOTTEN But they are not forgotten ANYMORE https,1
361,361,32770,x950884128379035650,2018-01-10 00:16:57,x25073877,realDonaldTrump,"As I made very clear today, our country needs the security of the Wall on the Southern Border, which must be part of any DACA approval.",Twitter for iPhone,135,,,,False,False,119760,24045,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06500000000000002,0.24916666666666665,As I made very clear today our country needs the security of the Wall on the Southern Border which must be part of any DACA approval,1
362,362,32791,x950012437788585985,2018-01-07 14:33:10,x25073877,realDonaldTrump,"Leaving Camp David for the White House. Great meetings with the Cabinet and Military on many very important subjects including Border Security &amp; the desperately needed Wall, the ever increasing Drug and Opioid Problem, Infrastructure, Military, Budget, Trade and DACA.",Twitter for iPhone,272,,,,False,False,80877,15630,,,,,,,,,,,,,,,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1457142857142857,0.4928571428571429,Leaving Camp David for the White House Great meetings with the Cabinet and Military on many very important subjects including Border Security amp the desperately needed Wall the ever increasing Drug and Opioid Problem Infrastructure Military Budget Trade and DACA,1
