Date,Dividends
2/8/2017,0.75
5/10/2017,0.77
8/10/2017,0.77
11/10/2017,0.77
2/9/2018,0.77
5/11/2018,0.82
8/10/2018,0.82
11/9/2018,0.82
2/8/2019,0.82
5/10/2019,0.87
8/12/2019,0.87
11/8/2019,0.87
2/10/2020,0.87
5/12/2020,0.87
8/12/2020,0.87
11/10/2020,0.87
2/9/2021,0.87
5/12/2021,0.87
8/12/2021,0.87
11/10/2021,0.88
