Date,Open,High,Low,Close,Adj Close,Volume
1/11/2021,134,135.539993,132.75,132.929993,132.929993,3074800
1/12/2021,132.880005,133.470001,127.669998,128.690002,128.690002,5374600
1/13/2021,129.139999,129.899994,128.449997,128.5,128.5,2917300
1/14/2021,129.029999,130.419998,123.900002,124.690002,124.690002,6359700
1/15/2021,124.75,127.900002,124.75,127.279999,127.279999,4741000
1/19/2021,128.690002,130.429993,127.120003,129.850006,129.850006,4033800
1/20/2021,130.119995,132.419998,129.5,132.300003,132.300003,4230400
1/21/2021,132.710007,132.710007,129.850006,130.399994,130.399994,2687200
1/22/2021,130.440002,131.320007,129.119995,130.360001,130.360001,2501600
1/25/2021,130.75,132.399994,129.669998,131.100006,131.100006,2892600
1/26/2021,130.020004,132.710007,130,131.410004,131.410004,3219000
1/27/2021,129.690002,130,122.449997,123.269997,123.269997,7023100
1/28/2021,125.790001,129.600006,124.5,127.769997,127.769997,5000200
1/29/2021,126.559998,129.229996,125.370003,126.080002,126.080002,4597400
2/1/2021,126.290001,129.350006,125.209999,128.419998,128.419998,4070200
2/2/2021,128.630005,132.410004,128.070007,131.889999,131.889999,3456000
2/3/2021,131.850006,132.649994,128.75,129.369995,129.369995,3918400
2/4/2021,130.309998,130.850006,129.369995,130.600006,130.600006,7396000
2/5/2021,129.020004,129.589996,124.550003,125.279999,125.279999,10319100
2/8/2021,126.199997,126.260002,122.540001,126.099998,126.099998,5742600
2/9/2021,125.919998,125.989998,124.050003,124.449997,124.449997,3342900
2/10/2021,125.110001,125.660004,124.32,124.489998,124.489998,2880000
2/11/2021,125.43,125.449997,123.459999,124.400002,124.400002,3085300
2/12/2021,123.809998,124.050003,122.68,123.68,123.68,2713000
2/16/2021,122.980003,123.379997,121.379997,122,122,4247500
2/17/2021,121.889999,122.949997,120.830002,121.300003,121.300003,6105200
2/18/2021,120.849998,123.239998,119.599998,123.040001,123.040001,6125900
2/19/2021,123.099998,123.720001,119.400002,120.099998,120.099998,4961100
2/22/2021,119.150002,119.849998,117.400002,117.910004,117.910004,5138500
2/23/2021,117.879997,119.650002,115.889999,119.220001,119.220001,6390200
2/24/2021,117.720001,119.510002,116.769997,119.379997,119.379997,4425000
2/25/2021,124.489998,125.339996,119.739998,120.889999,120.889999,11337300
2/26/2021,119.75,121.660004,118.879997,119.970001,119.970001,5118000
3/1/2021,120.309998,123.93,120.269997,123.57,123.57,5812900
3/2/2021,123.900002,124.559998,122.419998,122.449997,122.449997,4797700
3/3/2021,121.440002,121.940002,118.620003,118.839996,118.839996,5390200
3/4/2021,119.190002,121.519997,117.410004,118.610001,118.610001,4884200
3/5/2021,120.019997,125.349998,118.540001,124.68,124.68,7944300
3/8/2021,124.089996,128.460007,123.849998,127.059998,127.059998,7416000
3/9/2021,129.020004,129.839996,125.459999,126.309998,126.309998,6409500
3/10/2021,128.429993,129.119995,126.059998,127.410004,127.410004,4027800
3/11/2021,127.860001,130.199997,123.879997,125.989998,125.989998,8824500
3/12/2021,126.57,127.669998,124.68,127.120003,127.120003,6122500
3/15/2021,128.320007,128.570007,124.080002,125.629997,125.629997,5599600
3/16/2021,125.800003,128.809998,124.839996,127.779999,127.779999,4433200
3/17/2021,126.330002,128.020004,125.519997,127.300003,127.300003,3471800
3/18/2021,125.379997,126.540001,124.82,124.910004,124.910004,3835000
3/19/2021,124.730003,125.709999,122.959999,124.190002,124.190002,8848300
3/22/2021,124.660004,127.099998,124.639999,126.110001,126.110001,4850700
3/23/2021,126.940002,127.330002,124.220001,124.389999,124.389999,3653200
3/24/2021,125.279999,125.300003,122.309998,122.360001,122.360001,3673100
3/25/2021,124.209999,124.279999,121.150002,123.480003,123.480003,4259300
3/26/2021,123.870003,124.720001,121.019997,122.989998,122.989998,4274700
3/29/2021,122.559998,124.669998,121.900002,123.459999,123.459999,3256000
3/30/2021,123.529999,125.389999,122.279999,124.639999,124.639999,4592500
3/31/2021,124.25,125.93,124.150002,125.290001,125.290001,4160400
4/1/2021,125.860001,127.660004,124.849998,127.650002,127.650002,4281700
4/5/2021,128.470001,131.660004,128.229996,131.399994,131.399994,4316100
4/6/2021,130.369995,131.990005,130.369995,131.429993,131.429993,4906600
4/7/2021,130.910004,131.100006,129.089996,130.020004,130.020004,3057100
4/8/2021,130.880005,130.910004,129.610001,130.110001,130.110001,2422800
4/9/2021,130.529999,130.529999,128.179993,129.029999,129.029999,2388100
4/12/2021,128.490005,131,128.229996,130.759995,130.759995,2435800
4/13/2021,130.300003,131.199997,129.669998,130.789993,130.789993,4516400
4/14/2021,130.679993,130.789993,129.610001,129.899994,129.899994,2921500
4/15/2021,131.100006,131.800003,130.119995,131.470001,131.470001,3241200
4/16/2021,131.990005,133.550003,131.320007,133.050003,133.050003,3540000
4/19/2021,133.589996,133.639999,131.919998,131.990005,131.990005,2575700
4/20/2021,131.699997,131.699997,128.479996,130.550003,130.550003,3332400
4/21/2021,130.960007,132.5,129.809998,132.119995,132.119995,3368400
4/22/2021,132,132.880005,130.589996,131.729996,131.729996,3324500
4/23/2021,131.75,133.910004,131.399994,133.320007,133.320007,3020100
4/26/2021,133.410004,133.410004,131.910004,132.5,132.5,2721700
4/27/2021,133.110001,133.240005,131.479996,132.919998,132.919998,3008600
4/28/2021,132.350006,132.639999,131.529999,132.080002,132.080002,2011400
4/29/2021,132.149994,134.070007,132.149994,134.009995,134.009995,3401800
4/30/2021,133.050003,133.179993,131.509995,132.130005,132.130005,4138400
5/3/2021,132.580002,132.779999,130.910004,131.449997,131.449997,4192300
5/4/2021,130.830002,131.130005,127.089996,128.479996,128.479996,4891800
5/5/2021,131.460007,135.330002,131.419998,134.130005,134.130005,8802900
5/6/2021,133.679993,138.979996,132.210007,138.880005,138.880005,8150200
5/7/2021,138.580002,140.190002,138.350006,139.119995,139.119995,5831400
5/10/2021,138.330002,139.720001,135.690002,135.809998,135.809998,5251600
5/11/2021,135.110001,138.25,134.669998,138,138,3151400
5/12/2021,135.979996,137.380005,135.850006,136.639999,136.639999,3903400
