Date,Open,High,Low,Close,Adj Close,Volume
1/11/2021,57.75,58.049999,57.290001,57.459999,54.89566,15688000
1/12/2021,57.27,57.450001,56.689999,57.259998,54.704582,22699300
1/13/2021,57.220001,57.25,56.880001,57.060001,54.513515,16985400
1/14/2021,56.889999,57.43,56.66,57.040001,54.494408,18341100
1/15/2021,56.779999,57.5,56.709999,57.380001,54.819233,15785300
1/19/2021,57.439999,57.580002,56.98,57.049999,54.50396,18821300
1/20/2021,57.009998,57.389999,56.66,57.259998,54.704582,19923100
1/21/2021,57.189999,57.509998,57.049999,57.27,54.714142,13601500
1/22/2021,57.169998,57.689999,56.759998,57.470001,54.90522,16364500
1/25/2021,57.470001,58.619999,57.18,58.419998,55.812817,22444300
1/26/2021,56.990002,57.279999,56.41,56.57,54.04538,37892700
1/27/2021,56.639999,56.959999,55.060001,55.130001,52.669643,37239000
1/28/2021,55,56.330002,55,55.369999,52.898933,24000800
1/29/2021,55,55.27,54.48,54.75,52.306606,26231200
2/1/2021,55.27,55.27,54.220001,54.279999,51.857582,20541100
2/2/2021,54.43,55.169998,54.169998,54.5,52.06776,18974500
2/3/2021,54.310001,54.900002,54.25,54.790001,52.344822,13909300
2/4/2021,54.759998,55.369999,54.59,55.139999,52.679199,14761700
2/5/2021,55.200001,55.68,55.169998,55.32,52.851162,12069500
2/8/2021,55.369999,55.48,54.790001,55.049999,52.593212,17887700
2/9/2021,55.02,55.299999,54.68,55,52.545444,19605600
2/10/2021,55.220001,55.439999,54.919998,54.959999,52.507233,16232800
2/11/2021,55.02,55.060001,54.48,54.599998,52.1633,17398800
2/12/2021,54.419998,54.68,54.18,54.200001,51.781155,18357300
2/16/2021,54.110001,54.32,53.830002,54.150002,51.733383,22095700
2/17/2021,56,57.25,55.630001,56.990002,54.446636,40531300
2/18/2021,56.939999,57.610001,56.529999,56.98,54.437084,20759900
2/19/2021,57.330002,57.400002,56.349998,56.450001,53.930733,18689400
2/22/2021,56.529999,56.84,56.150002,56.450001,53.930733,17854900
2/23/2021,56.810001,57.529999,56.290001,57.029999,54.484848,21062000
2/24/2021,57.080002,57.419998,56.669998,57.119999,54.570835,17136900
2/25/2021,56.119999,56.860001,55.740002,56.5,53.978504,24165300
2/26/2021,56.470001,56.610001,55.290001,55.299999,52.832058,23935200
3/1/2021,55.490002,55.950001,55.279999,55.360001,52.889378,20550400
3/2/2021,55.310001,55.52,54.919998,54.98,52.52634,17184600
3/3/2021,54.560001,55.970001,54.400002,55.380001,52.908489,22838700
3/4/2021,55.549999,55.619999,54.529999,54.799999,52.35437,23692000
3/5/2021,54.950001,56.200001,54.919998,56,53.50082,23598100
3/8/2021,55.950001,57.299999,55.82,56.790001,54.255562,23648800
