,Car model,Autonomy_WLTP_Km,DC Charging connector,DC charging protocol,DC_nominal_charge_power_KW,year,AC Charging connector,AC_nominal_charging,AC Charging Protocol,Car_type,Approx_Release_price_order_in_K$,Battery_Capacity_kWh,Source
47,Renault ZOE,200,None,,,2013,C Type 2 Tri up to 22W,22.0,IEC 61851-1,empty,empty,empty,
48,Renault ZOE ,130,None,,,2013,C Type 2 Tri up to 22W,22.0,IEC 61851-1,empty,empty,empty,
49,Renault ZOE ZE,400,None,,,2013,D Type 2 Tri up to 43W,43.0,IEC 61851-1,hatchback,52,empty,
50,Renault Megane eVision,450,G High Charging Combo CCS up to 150 KW,DIN 70121,130.0,2021,C Type 2 Tri up to 22W,22.0,IEC 61851-1,Hatchback,empty,60,
51,Renault Twingo ZE,190,None,,,2020,C Type 2 Tri up to 22W,22.0,IEC 61851-1,Hatchback,20,21,
52,Skoda E,500,G High Charging Combo CCS up to 150 KW,DIN 70121,150.0,2019,B Type 2 Tri up to 11KW,11.0,IEC 61851-1,SUV,40,83,
53,Smart ED Gen1,empty,None,,,2016,A Type 2 Mono up to 7KW,7.5,IEC 61851-1,Micro,empty,empty,
54,Smart ForTwo,135,None,,,2018,C Type 2 Tri up to 22W,22.0,AC ISO IEC 15118,micro,30,18,https:www.automobile_propre.comvoituressmart_electriqueautonomie
55,Tesla model S,450,None,,,2016,B Type 2 Tri up to 11KW,11.0,IEC 61851-1,empty,empty,empty,
56,Tesla model 3,350,G High Charging Combo CCS up to 150 KW,DIN 70121,150.0,2017,B Type 2 Tri up to 11KW,11.0,IEC 61851-1,Sedan,empty,empty,
57,Tesla model X,450,F CHAdeMO up to 100KW,E CHAdeMO 100KW,50.0,2015,C Type 2 Tri up to 22W,16.5,IEC 61851-1,SUV,100,90,
58,Tesla S,450,F CHAdeMO up to 100KW,E CHAdeMO 100KW,60.0,2013,C Type 2 Tri up to 22W,22.0,IEC 61851-1,Sedan,80,100,
59,Volvo XC40,500,G High Charging Combo CCS up to 150 KW,DIN 70121,150.0,2019,A Type 2 Mono up to 7KW,3.7,IEC 61851-1,SUV,50,78,
60,VW ID Buzz,500,G High Charging Combo CCS up to 150 KW,DIN 70121,150.0,2022,None,,,Van,empty,110,
61,VW e Golf,130,E Fast Charging Combo CCS up to 50 KW,DIN 70121,50.0,2016,A Type 2 Mono up to 7KW,7.0,IEC 61851-1,hatchback,empty,empty,
62,VW e golf 1.1,230,G High Charging Combo CCS up to 150 KW,DIN 70121,150.0,2017,A Type 2 Mono up to 7KW,7.0,IEC 61851-1,Sedan,39,32,
63,VW e UP!,110,E Fast Charging Combo CCS up to 50 KW,DIN 70121,40.0,2016,A Type 2 Mono up to 7KW,7.0,IEC 61851-1,hatchback,37,23,
64,VW ID.3,330,G High Charging Combo CCS up to 150 KW,DIN 70121,100.0,2020,A Type 2 Mono up to 7KW,7.2,IEC 61851-1,hatchback_,empty,77,
65,VW ID.4,500,G High Charging Combo CCS up to 150 KW,DIN 70121,150.0,2020,B Type 2 Tri up to 11KW,11.0,IEC 61851-1,SUV,empty,77,
66,VW ID Crozz2,500,G High Charging Combo CCS up to 150 KW,DIN 70121,150.0,2019,None,,,SUV,83,empty,
