station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,pm1i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_ti0e,feel,metar
BOI,9/1/2020 1:45,-116.2406,43.5667,0,0,0,350,11,0,29.99,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010145Z AUTO 35011KT 10S0 CLR 22/03 A2998 R0K T02200030 0ADISHF
BOI,9/1/2020 1:50,-116.2406,43.5667,0,0,0,340,11,0,29.99,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010150Z AUTO 34011KT 10S0 CLR 21/03 A2998 R0K T02100030 0ADISHF
BOI,9/1/2020 1:53,-116.2406,43.5667,70,37.9,30.88,350,13,0,29.99,1013.8,10,19,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010153Z 35013G19KT 10S0 CLR 21/03 A2999 R0K AO2 SLP138 T02110033
BOI,9/1/2020 1:55,-116.2406,43.5667,0,0,0,350,11,0,29.99,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010155Z AUTO 35011KT 10S0 CLR 21/03 A2998 R0K T02100030 0ADISHF
BOI,9/1/2020 2:00,-116.2406,43.5667,0,0,0,360,11,0,29.99,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010200Z AUTO 36011KT 10S0 CLR 21/03 A2998 R0K T02100030 0ADISHF
BOI,9/1/2020 2:05,-116.2406,43.5667,0,0,0,360,8,0,29.99,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010205Z AUTO 36008KT 10S0 CLR 21/03 A2998 R0K T02100030 0ADISHF
BOI,9/1/2020 2:10,-116.2406,43.5667,0,0,0,360,11,0,29.99,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010210Z AUTO 36011KT 10S0 CLR 21/04 A2998 R0K T02100040 0ADISHF
BOI,9/1/2020 2:15,-116.2406,43.5667,0,0,0,360,11,0,30,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010215Z AUTO 36011KT 10S0 CLR 21/03 A3000 R0K T02100030 0ADISHF
BOI,9/1/2020 2:20,-116.2406,43.5667,0,0,0,350,9,0,30,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010220Z AUTO 35009KT 10S0 CLR 20/03 A3000 R0K T02000030 0ADISHF
BOI,9/1/2020 2:25,-116.2406,43.5667,0,0,0,340,9,0,30.01,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010225Z AUTO 34009KT 10S0 CLR 20/03 A3001 R0K T02000030 0ADISHF
BOI,9/1/2020 2:30,-116.2406,43.5667,0,0,0,350,9,0,30.01,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010230Z AUTO 35009KT 10S0 CLR 20/03 A3001 R0K T02000030 0ADISHF
BOI,9/1/2020 2:35,-116.2406,43.5667,0,0,0,350,7,0,30.01,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010235Z AUTO 35007KT 10S0 CLR 20/03 A3001 R0K T02000030 0ADISHF
BOI,9/1/2020 2:40,-116.2406,43.5667,0,0,0,350,5,0,30.01,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010240Z AUTO 35005KT 10S0 CLR 19/03 A3001 R0K T01900030 0ADISHF
BOI,9/1/2020 2:45,-116.2406,43.5667,0,0,0,340,5,0,30.02,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010245Z AUTO 34005KT 10S0 CLR 19/03 A3002 R0K T01900030 0ADISHF
BOI,9/1/2020 2:50,-116.2406,43.5667,0,0,0,340,7,0,30.02,0,10,0,CLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBOI 010250Z AUTO 34007KT 10S0 CLR 19/04 A3002 R0K T01900040 0ADISHF
